origin,destination,route,raw_aircraft_type,openap_type,year,number_of_trips,total_distance_km,total_fuel_kg,total_energy_mwh,total_co2_kg,total_nox_kg,average_flight_distance_km,average_fuel_kg_per_flight,fuel_kg_per_km,energy_mwh_per_km,co2_kg_per_km
DTTA,EDDF,DTTA-EDDF,A21N,A21N,2025,1,1473.2737402607956,4796.451557188091,57.2909491553022,15156.786920714369,0.0,1473.2737402607956,4796.451557188091,3.255641790193745,0.038886832493980845,10.287828057012234
DTTA,EDDF,DTTA-EDDF,A21N,A21N,2026,1,1473.2737402607956,4796.451557188091,57.2909491553022,15156.786920714369,0.0,1473.2737402607956,4796.451557188091,3.255641790193745,0.038886832493980845,10.287828057012234
DTTA,EDDF,DTTA-EDDF,A320,A320,2025,1,1473.2737402607956,5657.519838415802,67.57593140329986,17877.762689393934,0.0,1473.2737402607956,5657.519838415802,3.8401009152680072,0.04586787204347898,12.134718892246903
DTTA,EDDF,DTTA-EDDF,A320,A320,2026,5,7366.368701303978,28287.59919207901,337.8796570164993,89388.81344696967,0.0,1473.2737402607956,5657.519838415802,3.8401009152680077,0.04586787204347898,12.134718892246903
DTTA,EDDF,DTTA-EDDF,A321,A321,2025,3,4419.821220782387,19871.314135495937,237.3518077295348,62793.35266816717,0.0,1473.2737402607956,6623.771378498645,4.495954280245381,0.05370167612515316,14.207215525575405
DTTA,EDDF,DTTA-EDDF,A321,A321,2026,8,11786.189922086365,52990.17102798917,632.9381539454262,167448.9404484458,0.0,1473.2737402607956,6623.771378498646,4.495954280245381,0.05370167612515316,14.207215525575405
DTTA,EDDK,DTTA-EDDK,A21N,A21N,2025,1,1580.548705143446,5131.911476219685,61.2978315215129,16216.840264854203,0.0,1580.548705143446,5131.911476219685,3.24691764291688,0.038782627401507175,10.26025975161734
DTTA,EDDM,DTTA-EDDM,A320,A320,2026,2,2575.0235377650206,10114.419240646033,120.8111187077165,31961.564800441465,0.0,1287.5117688825103,5057.209620323017,3.927893897787356,0.04691651044579342,12.412144717008044
DTTA,EDDM,DTTA-EDDM,A321,A321,2025,2,2575.0235377650206,11844.165367856094,141.47197522717002,37427.56256242526,0.0,1287.5117688825103,5922.082683928047,4.599633826312974,0.054940070703182756,14.534842891149
DTTA,EDDM,DTTA-EDDM,A321,A321,2026,2,2575.0235377650206,11844.165367856094,141.47197522717002,37427.56256242526,0.0,1287.5117688825103,5922.082683928047,4.599633826312974,0.054940070703182756,14.534842891149
DTTJ,EDDF,DTTJ-EDDF,A320,A320,2025,2,3611.6657527772,13447.336724742432,160.6209664344235,42493.58405018609,0.0,1805.8328763886,6723.668362371216,3.7233059882139057,0.04447282152588832,11.765646922755943
DTTJ,EDDF,DTTJ-EDDF,A320,A320,2026,4,7223.3315055544,26894.673449484864,321.241932868847,84987.16810037218,0.0,1805.8328763886,6723.668362371216,3.7233059882139057,0.04447282152588832,11.765646922755943
DTTJ,EDDF,DTTJ-EDDF,B38M,B38M,2026,2,3611.6657527772,10894.250263226011,130.12576703297736,34425.8308317942,0.0,1805.8328763886,5447.125131613006,3.016406004583577,0.03602929394363717,9.531842974484105
DTTJ,EDDF,DTTJ-EDDF,B738,B738,2025,1,1805.8328763886,6656.733721486382,79.51098611775402,21035.278559896968,0.0,1805.8328763886,6656.733721486382,3.6862401878510873,0.04403009113266577,11.648518993609436
DTTJ,EDDF,DTTJ-EDDF,B738,B738,2026,2,3611.6657527772,13313.467442972764,159.02197223550803,42070.557119793935,0.0,1805.8328763886,6656.733721486382,3.6862401878510873,0.04403009113266577,11.648518993609436
DTTJ,EDDL,DTTJ-EDDL,B38M,B38M,2026,1,1962.181093697638,5855.495839016295,69.94064474380575,18503.36685129149,0.0,1962.181093697638,5855.495839016295,2.9841770761239412,0.03564433729814708,9.429999560551654
