ID,Vessel Type,Operator,Operator Country,Status,Build Date,Segment,Range (km),Age (Years),Main Hub,current_technology,operator_economic_weight,operator_environmental_weight,free_ets_allocation,peer_influence,investment_logic,decision_attitude,imo,real_name,data_source
13,Container Ship,Hapag-Lloyd AG,Germany,Active,2013.0,deepsea,20000,13.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9501368,SHANGHAI EXPRESS,mrv_or_finaldata_verified
14,Container Ship,Hapag-Lloyd AG,Germany,Active,2013.0,deepsea,20000,13.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9612997,ANTWERPEN EXPRESS,mrv_or_finaldata_verified
15,Container Ship,Hapag-Lloyd AG,Germany,Active,2014.0,deepsea,20000,12.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9613018,LUDWIGSHAFEN EXPRESS,mrv_or_finaldata_verified
16,Container Ship,Hapag-Lloyd AG,Germany,Active,2014.0,deepsea,20000,12.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9613006,LEVERKUSEN EXPRESS,mrv_or_finaldata_verified
17,Container Ship,Hapag-Lloyd AG,Germany,Active,2012.0,deepsea,20000,14.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9461051,DORTMUND EXPRESS,mrv_or_finaldata_verified
18,Container Ship,Hapag-Lloyd AG,Germany,Active,2017.0,deepsea,20000,9.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9777632,SANTOS EXPRESS,mrv_or_finaldata_verified
19,Container Ship,Hapag-Lloyd AG,Germany,Active,2017.0,deepsea,20000,9.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9777618,CARTAGENA EXPRESS,mrv_or_finaldata_verified
20,Container Ship,Hapag-Lloyd AG,Germany,Active,2017.0,deepsea,20000,9.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9777620,GUAYAQUIL EXPRESS,mrv_or_finaldata_verified
21,Container Ship,Hapag-Lloyd AG,Germany,Active,2016.0,deepsea,20000,10.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9777606,CALLAO EXPRESS,mrv_or_finaldata_verified
22,Container Ship,Hapag-Lloyd AG,Germany,Active,2016.0,deepsea,20000,10.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9777589,VALPARAISO EXPRESS,mrv_or_finaldata_verified
23,Container Ship,Offen Reederei GmbH & Co,Germany,Active,2008.0,deepsea,20000,18.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9365805,CMA CGM IVANHOE,mrv_or_finaldata_verified
24,Container Ship,Offen Reederei GmbH & Co,Germany,Active,2008.0,deepsea,20000,18.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9364992,CMA CGM ORFEO,mrv_or_finaldata_verified
25,Container Ship,C-P.Offen,Germany,Active,2005.0,deepsea,20000,21.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9290567,SANTA LORETTA,mrv_or_finaldata_verified
26,Container Ship,C-P.Offen,Germany,Active,2005.0,deepsea,20000,21.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9290555,SANTA LINEA,mrv_or_finaldata_verified
27,Container Ship,Hapag-Lloyd AG,Germany,Active,2008.0,deepsea,20000,18.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9343730,KUALA LUMPUR EXPRESS,mrv_or_finaldata_verified
28,Container Ship,Hapag-Lloyd AG,Germany,Active,2010.0,deepsea,20000,16.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9450416,VIENNA EXPRESS,mrv_or_finaldata_verified
29,Container Ship,Hapag-Lloyd AG,Germany,Active,2008.0,deepsea,20000,18.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9343728,BREMEN EXPRESS,mrv_or_finaldata_verified
30,Container Ship,Hapag-Lloyd AG,Germany,Active,2010.0,deepsea,20000,16.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9450399,PRAGUE EXPRESS,mrv_or_finaldata_verified
